account_id,anomaly_score,anomaly_rank,step_down_flag,passive_receiver_flag
235,1.88,8402,0,0
236,18.39,4612,0,0
237,61.46,244,0,0
238,30.97,2342,0,1
239,21.88,3646,0,0
240,12.03,5903,0,0
241,35.41,1746,0,1
242,19.3,4274,0,1
243,5.56,7355,0,0
244,14.25,5518,0,0
245,19.36,4249,1,0
246,23.06,3406,0,0
247,2.92,8072,0,0
248,10.99,6103,0,0
249,9.25,6524,0,0
250,22.06,3602,0,0
251,23.59,3304,0,1
252,48.52,775,0,0
253,0.68,8884,0,0
254,16.71,5171,0,0
255,35.45,1737,1,1
256,18.92,4422,0,1
257,47.13,854,0,0
258,3.68,7880,0,0
259,18.99,4405,0,1
260,19.78,4120,1,0
261,22.82,3440,0,1
262,33.64,1969,1,0
263,14.03,5551,0,0
264,7.62,6882,0,0
265,18.84,4447,1,0
266,34.99,1801,1,1
267,17.18,5042,0,0
268,1.84,8420,0,0
269,18.96,4414,1,0
270,5.89,7276,0,0
271,1.8,8439,0,0
272,12.8,5762,0,0
273,25.0,3053,0,0
274,13.26,5673,0,0
275,5.37,7399,0,0
276,37.36,1547,0,1
277,4.7,7579,0,0
278,12.24,5872,0,0
279,22.03,3606,0,1
280,18.52,4558,0,1
281,28.17,2653,1,0
282,21.23,3792,0,1
283,10.71,6166,0,0
284,27.99,2675,1,0
285,18.24,4670,0,1
286,6.19,7210,0,0
287,28.77,2590,0,0
288,2.29,8257,0,0
289,1.36,8605,0,0
290,35.43,1741,1,1
291,11.92,5923,0,0
292,82.38,23,0,0
293,43.38,1101,1,0
294,12.49,5823,0,0
295,4.44,7654,0,0
296,19.97,4080,1,0
297,16.96,5109,1,0
298,7.64,6874,0,0
299,4.02,7789,0,0
300,25.0,3052,0,1
301,37.68,1518,0,1
302,11.82,5944,0,0
303,6.69,7090,0,0
304,7.62,6881,0,0
305,20.82,3865,0,0
306,5.41,7393,0,0
307,27.49,2732,0,0
308,67.02,125,1,0
309,21.53,3729,0,0
310,1.82,8433,0,0
311,2.24,8272,0,0
312,21.12,3808,0,0
313,10.3,6265,0,0
314,41.93,1183,0,0
315,56.76,378,1,0
316,13.99,5559,0,0
317,25.06,3048,0,1
318,22.78,3448,1,0
319,0.55,8941,0,0
320,30.32,2406,1,0
321,36.18,1657,0,1
322,8.68,6639,0,0
323,31.61,2247,1,0
324,41.45,1213,1,1
325,5.42,7392,0,0
326,21.49,3740,0,0
327,24.16,3194,0,1
328,32.79,2086,1,0
329,24.84,3081,0,0
330,9.04,6560,0,0
331,2.86,8088,0,0
332,17.69,4893,0,0
333,13.71,5608,0,0
334,27.33,2755,1,0
335,19.21,4314,0,1
336,17.83,4834,0,1
337,6.75,7078,0,0
338,13.82,5593,0,0
339,2.65,8155,0,0
340,4.77,7565,0,0
341,0.2,9067,0,0
342,12.14,5889,0,0
343,11.71,5965,0,0
344,21.94,3625,0,1
345,12.21,5880,0,0
346,26.2,2905,1,0
347,49.92,648,0,0
348,6.03,7240,0,0
349,20.87,3856,0,0
350,18.59,4534,0,1
351,30.61,2380,0,1
352,12.34,5849,0,0
353,18.65,4519,0,1
354,8.76,6622,0,0
355,10.18,6293,0,0
356,21.69,3694,1,0
357,2.02,8358,0,0
358,23.29,3365,1,0
359,5.01,7495,0,0
360,36.51,1628,0,0
361,40.12,1292,1,1
362,17.97,4780,0,1
363,9.7,6412,0,0
364,26.09,2917,1,0
365,39.17,1383,1,1
366,25.87,2940,1,0
367,0.73,8846,0,0
368,26.27,2895,0,1
369,16.51,5216,0,0
370,10.31,6259,0,0
371,2.28,8258,0,0
372,13.83,5591,0,0
373,14.04,5550,0,0
374,78.56,36,1,0
375,21.63,3712,1,0
376,9.19,6535,0,0
377,7.08,7009,0,0
378,3.89,7823,0,0
379,17.46,4967,0,1
380,19.1,4357,0,1
381,54.82,438,0,1
382,28.79,2583,0,1
383,60.18,297,1,0
384,4.15,7754,0,0
385,17.99,4767,1,0
386,6.58,7121,0,0
387,9.32,6506,0,0
388,26.86,2807,1,0
389,19.13,4341,0,0
390,18.11,4728,0,1
391,24.31,3162,0,1
392,35.03,1797,0,1
393,33.45,2018,1,1
394,19.41,4233,0,1
395,2.77,8116,0,0
396,3.04,8040,0,0
397,7.14,6994,0,0
398,35.3,1754,1,0
399,10.25,6278,0,0
400,22.52,3499,0,1
401,14.83,5446,0,0
402,19.47,4210,0,1
403,2.85,8093,0,0
404,3.88,7824,0,0
405,17.84,4829,0,1
406,6.26,7200,0,0
407,13.8,5598,0,0
408,8.83,6605,0,0
409,6.76,7075,0,0
410,24.47,3139,0,1
411,17.98,4775,0,1
412,3.72,7873,0,0
413,16.79,5151,1,0
414,25.38,3000,1,0
415,5.8,7300,0,0
416,6.44,7152,0,0
417,0.77,8831,0,0
418,7.82,6823,0,0
419,19.44,4223,1,0
420,24.57,3122,0,0
421,1.55,8552,0,0
422,18.16,4707,1,0
423,46.88,868,0,0
424,23.12,3395,0,1
425,12.61,5795,0,0
426,0.68,8880,0,0
427,18.75,4478,0,1
428,18.68,4510,0,0
429,1.86,8407,0,0
430,18.71,4497,1,0
431,0.5,8970,0,0
432,20.29,4004,0,0
433,27.65,2718,1,0
434,3.63,7894,0,0
435,19.11,4349,1,0
436,33.79,1944,1,1
437,25.72,2951,0,0
438,23.69,3287,1,0
439,39.08,1390,1,1
440,23.33,3355,0,1
441,2.66,8154,0,0
442,3.68,7882,0,0
443,11.18,6061,0,0
444,6.87,7050,0,0
445,24.55,3125,0,0
446,18.4,4609,0,0
447,28.35,2629,0,1
448,18.15,4715,0,0
449,4.53,7629,0,0
450,7.18,6987,0,0
451,19.91,4090,0,0
452,18.57,4542,1,0
453,8.71,6631,0,0
454,5.76,7314,0,0
455,33.83,1934,1,1
456,63.85,196,1,0
457,10.06,6334,0,0
458,37.75,1511,1,0
459,13.02,5713,0,0
460,11.19,6058,0,0
461,19.08,4360,0,1
462,20.77,3876,1,0
463,21.88,3644,0,1
464,17.8,4849,1,0
465,5.02,7491,0,0
466,4.36,7681,0,0
467,10.9,6119,0,0
468,18.4,4611,0,1
469,26.87,2806,1,0
470,21.49,3737,1,0
471,33.63,1971,0,0
472,22.38,3535,0,0
473,9.6,6436,0,0
474,67.53,116,1,1
475,22.87,3432,0,0
476,13.84,5588,0,0
477,8.79,6615,0,0
478,31.43,2284,0,1
479,21.39,3761,0,0
480,24.48,3138,0,1
481,20.93,3845,0,1
482,20.03,4071,0,0
483,26.31,2890,1,0
484,5.79,7305,0,0
485,34.52,1851,0,0
486,19.92,4087,0,0
487,33.89,1923,0,0
488,60.74,277,1,0
489,56.49,389,0,1
490,39.79,1320,1,0
491,15.66,5337,0,0
492,41.26,1230,1,0
493,7.78,6835,0,0
494,18.03,4754,0,1
495,12.52,5811,0,0
496,39.29,1362,1,1
497,6.89,7046,0,0
498,28.74,2592,0,1
499,10.91,6115,0,0
500,32.8,2085,1,0
501,22.81,3442,0,0
502,21.1,3814,0,0
503,21.71,3690,0,0
504,30.28,2409,0,1
505,10.42,6233,0,0
506,5.26,7423,0,0
507,4.5,7639,0,0
508,15.69,5333,0,0
509,17.46,4974,1,0
510,10.82,6144,0,0
511,22.4,3530,1,0
512,17.78,4851,1,0
513,11.95,5917,0,0
514,7.78,6836,0,0
515,14.48,5486,0,0
516,25.46,2986,0,0
517,0.61,8910,0,0
518,2.63,8159,0,0
519,13.7,5610,0,0
520,13.6,5624,0,0
521,19.61,4167,0,0
522,3.06,8034,0,0
523,6.85,7055,0,0
524,29.21,2530,0,0
525,9.17,6540,0,0
526,19.34,4264,1,0
527,18.99,4406,0,1
528,8.06,6759,0,0
529,9.46,6478,0,0
530,52.17,548,0,1
531,10.6,6198,0,0
532,2.85,8092,0,0
533,19.56,4183,0,1
534,8.06,6760,0,0
535,24.44,3143,0,0
536,18.76,4476,0,0
537,36.66,1611,1,1
538,28.8,2582,1,0
539,35.19,1769,1,0
540,20.08,4055,0,0
541,9.64,6426,0,0
542,3.82,7839,0,0
543,19.55,4186,0,1
544,5.36,7402,0,0
545,39.51,1340,1,1
546,21.28,3783,0,1
547,21.81,3662,1,0
548,19.48,4204,1,0
549,7.23,6973,0,0
550,12.96,5729,0,0
551,18.2,4687,0,0
552,7.13,6996,0,0
553,21.98,3613,1,0
554,17.86,4822,0,1
555,35.46,1734,1,0
556,21.47,3741,1,0
557,3.38,7955,0,0
558,7.97,6790,0,0
559,10.47,6221,0,0
560,24.31,3163,1,0
561,12.99,5720,0,0
562,27.83,2699,1,0
563,24.74,3096,0,0
564,21.72,3688,0,0
565,29.23,2528,0,1
566,4.0,7794,0,0
567,19.43,4226,0,0
568,6.36,7176,0,0
569,5.14,7455,0,0
570,27.23,2763,0,1
571,6.03,7238,0,0
572,27.75,2710,1,0
573,13.86,5585,0,0
574,19.17,4325,0,1
575,50.22,627,0,0
576,24.89,3074,1,0
577,19.0,4399,0,1
578,35.59,1718,0,0
579,4.72,7572,0,0
580,12.02,5904,0,0
581,21.74,3685,0,0
582,0.78,8819,0,0
583,9.24,6526,0,0
584,19.64,4158,0,0
585,9.49,6470,0,0
586,21.01,3835,0,0
587,7.79,6832,0,0
588,2.03,8349,0,0
589,6.17,7214,0,0
590,19.71,4141,0,0
591,16.4,5234,0,0
592,33.33,2035,1,1
593,23.79,3260,0,1
594,33.16,2053,1,0
595,12.39,5838,0,0
596,19.36,4250,0,0
597,8.54,6661,0,0
598,49.05,710,1,0
599,15.4,5370,0,0
600,33.8,1942,0,1
601,33.45,2018,1,1
602,19.02,4391,0,1
603,6.2,7209,0,0
604,49.73,659,0,0
605,49.66,663,0,0
606,48.93,730,0,0
607,14.47,5487,0,0
608,45.23,999,1,0
609,15.04,5421,0,0
610,7.58,6895,0,0
611,18.17,4704,1,0
612,18.5,4570,0,1
613,42.84,1134,0,0
614,54.81,439,1,0
615,20.08,4060,1,0
616,11.39,6016,0,0
617,9.76,6399,0,0
618,14.0,5557,0,0
619,24.93,3067,1,0
620,21.93,3629,0,1
621,35.99,1676,1,0
622,23.72,3276,0,1
623,30.33,2405,0,1
624,37.12,1568,1,0
625,40.95,1246,1,1
626,39.17,1384,0,0
627,6.63,7112,0,0
628,8.82,6609,0,0
629,11.0,6099,0,0
630,45.03,1012,1,0
631,39.6,1334,1,1
632,42.19,1167,0,1
633,57.94,347,0,0
634,34.95,1804,1,0
635,25.74,2949,0,0
636,18.03,4755,1,0
637,17.24,5029,0,0
638,23.78,3261,0,0
639,2.36,8228,0,0
640,18.97,4411,0,1
641,35.23,1764,1,1
642,12.68,5779,0,0
643,65.29,162,1,1
644,49.47,672,0,0
645,15.03,5425,0,0
646,11.09,6081,0,0
647,1.21,8643,0,0
648,18.06,4749,0,0
649,11.86,5934,0,0
650,42.23,1165,0,0
651,47.69,815,0,0
652,5.76,7313,0,0
653,22.16,3587,0,0
654,27.25,2760,0,0
655,39.38,1352,1,1
656,25.92,2934,0,1
657,11.37,6020,0,0
658,5.09,7471,0,0
659,13.69,5614,0,0
660,11.59,5985,0,0
661,4.16,7751,0,0
662,9.16,6542,0,0
663,54.83,437,0,0
664,32.8,2084,0,1
665,21.42,3752,1,0
666,13.01,5715,0,0
667,35.65,1716,1,1
668,2.82,8106,0,0
669,5.06,7481,0,0
670,1.72,8478,0,0
671,1.84,8424,0,0
672,19.37,4245,0,1
673,21.73,3687,0,0
674,20.56,3934,0,0
675,53.84,484,0,0
676,22.49,3505,0,0
677,22.13,3591,0,0
678,4.15,7755,0,0
679,24.21,3185,0,1
680,24.01,3224,1,0
681,3.59,7903,0,0
682,24.0,3230,0,0
683,0.84,8779,0,0
684,16.32,5254,0,0
685,26.5,2860,1,0
686,27.6,2722,0,1
687,0.37,9035,0,0
688,21.3,3779,1,0
689,11.41,6011,0,0
690,12.8,5763,0,0
691,19.49,4202,0,1
692,19.58,4174,0,1
693,75.5,52,1,0
694,30.34,2403,1,0
695,32.23,2151,1,0
696,25.01,3050,0,1
697,5.97,7255,0,0
698,18.43,4594,0,0
699,7.94,6795,0,0
700,43.42,1098,1,0
701,7.88,6810,0,0
702,21.45,3747,1,0
703,6.27,7196,0,0
704,29.91,2467,1,0
705,20.43,3961,0,0
706,11.99,5909,0,0
707,38.03,1488,0,0
708,17.32,5008,1,0
709,37.63,1522,1,0
710,10.71,6167,0,0
711,31.92,2177,0,0
712,35.18,1772,0,0
713,9.48,6471,0,0
714,3.23,7988,0,0
715,17.85,4827,0,1
716,4.67,7588,0,0
717,66.9,126,1,0
718,21.66,3705,1,0
719,34.34,1877,1,1
720,13.53,5634,0,0
721,10.47,6220,0,0
722,10.05,6338,0,0
723,34.39,1869,0,0
724,22.51,3502,1,0
725,29.29,2518,1,0
726,26.99,2790,0,0
727,22.39,3532,0,0
728,0.2,9070,0,0
729,36.38,1641,1,0
730,16.55,5211,0,0
731,30.49,2390,0,0
732,20.65,3901,0,0
733,5.57,7350,0,0
734,10.54,6207,0,0
735,6.79,7072,0,0
736,18.19,4690,0,1
737,48.92,731,1,0
738,18.98,4409,0,0
739,26.01,2926,0,0
740,7.01,7024,0,0
741,44.94,1018,1,1
742,18.13,4722,0,1
743,14.75,5455,0,0
744,36.91,1592,1,0
745,17.33,5002,0,0
746,13.26,5671,0,0
747,19.05,4377,0,0
748,64.14,192,1,0
749,0.85,8768,0,0
750,2.35,8231,0,0
751,60.73,280,1,0
752,63.5,205,1,0
753,2.51,8189,0,0
754,49.93,647,0,0
755,37.43,1541,1,0
756,58.94,323,0,0
757,56.51,386,0,0
758,61.37,247,0,1
759,10.33,6255,0,0
760,4.78,7555,0,0
761,16.64,5187,1,0
762,38.11,1463,0,0
763,27.11,2781,1,0
764,0.81,8796,0,0
765,30.07,2454,1,0
766,25.24,3026,0,0
767,48.75,744,0,1
768,28.81,2577,0,1
769,11.57,5991,0,0
770,15.26,5392,0,0
771,20.8,3871,0,0
772,37.16,1565,0,0
773,17.95,4789,0,0
774,50.06,632,0,1
775,8.04,6765,0,0
776,7.75,6838,0,0
777,17.46,4967,0,1
778,6.52,7135,0,0
779,3.6,7900,0,0
780,30.58,2384,1,0
781,25.38,2999,1,0
782,24.2,3189,1,0
783,4.97,7502,0,0
784,19.03,4387,1,0
785,34.55,1846,1,1
786,0.62,8907,0,0
787,22.38,3536,0,1
788,20.17,4031,0,1
789,6.67,7098,0,0
790,5.32,7408,0,0
791,6.26,7201,0,0
792,18.76,4477,0,1
793,75.4,53,1,1
794,48.57,767,0,1
795,7.33,6949,0,0
796,79.32,33,1,0
797,69.28,97,0,0
798,10.31,6262,0,0
799,31.13,2322,0,1
800,25.0,3051,1,0
801,34.42,1863,1,1
802,0.53,8955,0,0
803,5.65,7330,0,0
804,5.72,7318,0,0
805,15.03,5424,0,0
806,5.24,7427,0,0
807,8.65,6643,0,0
808,21.78,3671,0,1
809,23.6,3302,0,0
810,6.4,7171,0,0
811,28.32,2633,0,1
812,35.27,1757,1,1
813,9.78,6389,0,0
814,56.02,400,1,0
815,4.45,7651,0,0
816,5.23,7429,0,0
817,24.24,3177,0,0
818,1.86,8410,0,0
819,4.22,7731,0,0
820,7.24,6965,0,0
821,6.71,7085,0,0
822,10.63,6194,0,0
823,28.92,2562,1,0
824,33.95,1908,1,1
825,22.05,3603,1,0
826,11.93,5921,0,0
827,39.18,1379,1,1
828,30.65,2373,0,0
829,31.5,2275,0,1
830,24.2,3187,1,0
831,5.92,7265,0,0
832,25.4,2996,1,0
833,9.57,6449,0,0
834,1.75,8458,0,0
835,44.09,1075,1,1
836,17.8,4847,0,1
837,6.56,7127,0,0
838,13.18,5687,0,0
839,39.56,1337,1,1
840,0.98,8702,0,0
841,36.07,1669,1,1
842,16.1,5282,0,0
843,0.83,8786,0,0
844,40.82,1255,0,1
845,41.53,1208,0,0
846,18.34,4642,0,0
847,22.03,3608,0,1
848,39.86,1313,0,0
849,17.54,4945,0,0
850,68.9,104,1,0
851,28.81,2579,1,0
852,9.39,6494,0,0
853,23.34,3348,1,0
854,10.1,6319,0,0
855,2.29,8256,0,0
856,7.33,6948,0,0
857,5.77,7310,0,0
858,24.18,3191,0,0
859,17.43,4979,0,1
860,25.68,2955,1,0
861,41.13,1236,0,1
862,34.58,1840,1,1
863,3.49,7924,0,0
864,9.75,6403,0,0
865,20.23,4022,0,1
866,19.07,4370,0,1
867,20.92,3847,1,0
868,26.29,2893,1,0
869,20.85,3860,0,0
870,56.5,388,0,0
871,0.81,8800,0,0
872,2.78,8114,0,0
873,46.91,866,1,0
874,0.95,8714,0,0
875,17.02,5087,0,0
876,32.7,2096,1,0
877,19.07,4368,1,0
878,16.71,5170,0,0
879,33.86,1929,1,1
880,27.46,2736,0,1
881,17.96,4785,0,1
882,22.16,3585,0,0
883,26.39,2874,0,0
884,27.49,2731,0,1
885,25.91,2937,0,0
886,38.56,1427,1,1
887,20.64,3903,0,0
888,18.67,4512,1,0
889,30.61,2379,1,0
890,12.75,5771,0,0
891,7.51,6908,0,0
892,0.86,8763,0,0
893,16.96,5106,0,0
894,1.39,8596,0,0
895,18.54,4553,0,1
896,7.07,7011,0,0
897,16.97,5102,0,0
898,17.23,5031,0,1
899,16.94,5116,1,0
900,42.32,1161,1,1
901,9.71,6410,0,0
902,47.34,847,0,0
903,19.04,4380,0,1
904,33.49,2011,0,0
905,17.99,4770,0,1
906,18.1,4731,1,0
907,12.07,5899,0,0
908,15.51,5359,0,0
909,21.17,3799,1,0
910,9.6,6438,0,0
911,0.82,8788,0,0
912,4.58,7613,0,0
913,19.54,4188,1,0
914,16.5,5218,0,0
915,10.21,6288,0,0
916,24.89,3073,0,0
917,19.41,4236,0,0
918,45.29,994,0,0
919,47.59,822,0,0
920,35.43,1742,1,0
921,11.76,5956,0,0
922,0.95,8715,0,0
923,21.85,3650,0,0
924,0.76,8833,0,0
925,0.58,8929,0,0
926,8.52,6669,0,0
927,13.57,5629,0,0
928,26.92,2801,1,0
929,21.42,3750,1,0
930,28.11,2657,0,0
931,8.19,6725,0,0
932,21.93,3628,0,0
933,27.71,2713,1,0
934,5.81,7295,0,0
935,19.78,4121,1,0
936,5.97,7256,0,0
937,10.31,6261,0,0
938,7.86,6817,0,0
939,7.23,6970,0,0
940,26.25,2897,0,1
941,7.55,6899,0,0
942,28.03,2672,1,0
943,5.49,7374,0,0
944,11.33,6031,0,0
945,8.0,6779,0,0
946,2.7,8136,0,0
947,2.05,8339,0,0
948,11.07,6085,0,0
949,22.35,3544,0,0
950,6.48,7143,0,0
951,2.3,8248,0,0
952,3.86,7829,0,0
953,19.06,4373,0,1
954,23.34,3352,0,0
955,7.08,7004,0,0
956,47.21,851,1,1
957,4.46,7649,0,0
958,6.56,7125,0,0
959,1.71,8487,0,0
960,23.75,3270,1,0
961,8.41,6687,0,0
962,1.13,8667,0,0
963,3.7,7876,0,0
964,29.61,2493,1,0
965,17.63,4914,0,0
966,5.64,7332,0,0
967,17.6,4927,1,0
968,2.56,8179,0,0
969,17.76,4863,1,0
970,35.73,1707,1,1
971,23.64,3294,1,0
972,17.78,4854,0,0
973,19.26,4294,0,1
974,54.54,447,1,0
975,21.11,3810,0,0
976,30.65,2374,1,0
977,73.04,70,1,0
978,7.65,6873,0,0
979,8.25,6712,0,0
980,1.35,8608,0,0
981,18.41,4601,0,1
982,0.87,8751,0,0
983,17.8,4845,0,1
984,17.87,4817,1,0
985,12.95,5732,0,0
986,16.8,5148,1,0
987,19.66,4156,0,0
988,36.13,1662,1,0
989,42.32,1162,1,1
990,11.16,6066,0,0
991,19.68,4145,0,0
992,11.42,6010,0,0
993,28.35,2627,0,1
994,33.12,2056,0,0
995,19.48,4206,0,0
996,35.44,1739,0,1
997,19.81,4114,0,1
998,39.01,1393,1,0
999,37.07,1578,0,0
1000,46.15,943,1,1
1001,0.78,8816,0,0
1002,20.47,3951,0,1
1003,10.57,6202,0,0
1004,22.11,3597,1,0
1005,19.28,4286,1,0
1006,1.39,8593,0,0
1007,17.31,5012,1,0
1008,8.67,6640,0,0
1009,4.06,7779,0,0
1010,22.17,3582,0,1
1011,7.49,6912,0,0
1012,3.05,8038,0,0
1013,44.68,1037,0,0
1014,51.6,563,1,0
1015,6.24,7205,0,0
1016,7.49,6913,0,0
1017,4.63,7597,0,0
1018,4.55,7624,0,0
1019,3.74,7860,0,0
1020,16.78,5156,0,0
1021,10.46,6226,0,0
1022,57.53,359,1,0
1023,16.68,5180,0,0
1024,0.39,9023,0,0
1025,2.24,8276,0,0
1026,21.82,3659,0,1
1027,10.27,6276,0,0
1028,18.01,4761,0,1
1029,43.91,1082,0,0
1030,4.19,7743,0,0
1031,6.65,7105,0,0
1032,26.25,2896,0,1
1033,5.52,7365,0,0
1034,18.52,4557,1,0
1035,20.91,3851,1,0
1036,17.91,4801,0,1
1037,1.37,8601,0,0
1038,36.52,1627,1,0
1039,2.23,8281,0,0
1040,0.52,8963,0,0
1041,12.17,5884,0,0
1042,9.32,6508,0,0
1043,23.6,3299,1,0
1044,5.4,7394,0,0
1045,12.59,5798,0,0
1046,6.07,7232,0,0
1047,19.03,4386,0,1
1048,27.45,2739,1,0
1049,0.51,8968,0,0
1050,2.82,8105,0,0
1051,5.54,7360,0,0
1052,3.24,7986,0,0
1053,16.63,5188,0,0
1054,5.98,7253,0,0
1055,17.12,5054,1,0
1056,33.57,1994,1,1
1057,3.74,7864,0,0
1058,19.82,4109,0,1
1059,28.37,2626,1,0
1060,30.61,2378,0,1
1061,2.76,8119,0,0
1062,21.36,3765,0,0
1063,1.03,8688,0,0
1064,26.22,2902,1,0
1065,30.89,2352,1,0
1066,26.12,2914,0,1
1067,30.12,2425,1,0
1068,4.59,7609,0,0
1069,5.87,7280,0,0
1070,7.82,6825,0,0
1071,25.68,2956,0,1
